STD_ID,   number,Пол,Статус,Дата выпуска,Категория обучения,Форма обучения,Шифр,направление (специальность),   ,Образование,Дата выдачи,Что именно закончил
162367,2143.0,Ж,СТ,,БП,Д,34.03.01,Сестринское дело,4344.0,СР,2015-06-20 00:00:00,"СРЕДНЯЯ ШКОЛА N  11, БОРОВИЧИ"
165340,2582.0,Ж,СТ,,ДОГ,Д,31.05.03,Стоматология,4691.0,СР,2015-06-22 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
162002,3293.0,М,СТ,,БП,Д,38.03.02,Менеджмент,4981.0,СР,2016-06-24 00:00:00,"Гимназия ""ГАРМОНИЯ"""
170382,3487.0,М,СТ,,ДОГ,З,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,5113.0,СР,2012-06-20 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
170390,389.0,М,СТ,,ДОГ,З,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,1050.0,ОСН,2010-06-18 00:00:00,"СРЕДНЯЯ ШКОЛА N  33, НОВГОРОД"
170390,389.0,М,СТ,,ДОГ,З,23.03.03,Эксплуатация транспортно-технологических машин и комплексов,10202.0,СП,2014-06-27 00:00:00,НОВГОРОДСКИЙ АГРОТЕХНИЧЕСКИЙ ТЕХНИКУМ
170596,2375.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,4516.0,СП,2010-06-28 00:00:00,Новгородский гуманитарно-педагогический колледж при НовГУ
170598,2374.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,4656.0,СП,2010-07-29 00:00:00,Ленинградский Государственный Областной Университет им.А.С.Пушкина
170601,407.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,881.0,СП,1998-06-25 00:00:00,"Педагогическое училище , БОРОВИЧИ"
170603,3441.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,5250.0,СП,2011-06-29 00:00:00,ГУМАНИТАРНО-ЭКОНОМИЧЕСКИЙ КОЛЛЕДЖ НОВГУ
170602,671.0,Ж,СТ,,ДОГ,З,44.03.01,Педагогическое образование,1850.0,СР,2012-06-27 00:00:00,"СРЕДНЯЯ ШКОЛА N  23, НОВГОРОД"
171072,3216.0,Ж,СТ,,ДОГ,З,46.03.01,История,5135.0,СП,2002-06-12 00:00:00,ТЕХНИКУМ ДРУГОЙ
170576,3029.0,М,СТ,,ДОГ,З,46.03.01,История,4960.0,СР,2016-06-24 00:00:00,ИНОГОРОДНЯЯ СРЕДНЯЯ ШКОЛА
118595,1476.0,Ж,СТ,,ДОГ,З,44.03.03,Специальное (дефектологическое) образование,3472.0,СП,2014-06-30 00:00:00,ИНОГОРОДНИЙ ТЕХНИКУМ
170440,3259.0,М,СТ,,ДОГ,З,38.03.04,Государственное и муниципальное управление,10307.0,СП,2016-06-26 00:00:00,Новгородский медицинский колледж при НовГУ
170445,3278.0,Ж,СТ,,ДОГ,З,38.03.04,Государственное и муниципальное управление,5157.0,НП,2009-06-30 00:00:00,"ПУ N  28, НОВГОРОД"
